imdb_score,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,num_voted_users,budget,gross
7,451,108,13000,11000,79957,24000,306320,200000000,334185206
7,334,104,420,560,21714,13261,383427,210000000,234360014
7,376,104,37,760,14863,44000,235025,200000000,268488329
6,366,150,840,464,3218,13261,323207,200000000,402076689
6,378,165,840,808,3988,56000,242420,210000000,245428137
6,525,130,840,11000,73441,60000,175409,215000000,234903076
7,495,142,464,825,28631,41000,321227,200000000,202853933
7,469,125,364,1000,25550,30000,264183,170000000,172051787
6,304,106,487,776,4482,10000,101178,200000000,191450875
6,436,123,258,326,17657,24000,223393,200000000,116593191
8,453,103,125,721,19085,30000,544884,200000000,414984497
7,422,118,368,988,27468,13261,286095,200000000,125320003
7,424,140,840,14000,79150,94000,278232,190000000,350034110
7,654,123,395,1000,32392,129000,465019,190000000,202351611
8,539,149,840,20000,91434,82000,514125,200000000,233914986
8,590,132,14000,928,21411,92000,395573,190000000,228756232
6,338,114,840,140,1766,22000,106416,195000000,65171860
7,490,143,1000,77,29770,115000,362912,105000000,144812796
7,306,116,179,236,16149,23000,222403,200000000,90755643
7,575,131,840,919,19166,83000,381148,190000000,101785482
6,428,154,840,581,2593,46000,326180,195000000,352358779
6,470,122,14000,1000,14959,5000,333847,185000000,317011114
7,298,93,113,113,696,20000,62836,39752620,123070338
7,488,93,56,838,5005,39000,273556,185000000,237282182
8,322,122,681,105,1327,30000,53607,185000000,130468626
8,421,98,475,522,2975,16000,718837,180000000,223806889
6,162,91,420,173,1125,13261,121084,140000000,140080850
6,367,158,776,310,2144,13000,283418,200000000,166112167
7,240,96,840,10000,48878,13261,72809,200000000,137850096
5,384,127,840,13000,47334,44000,139593,176000000,47375327
7,248,110,282,103,21175,29000,42372,180000000,124051759
7,284,150,80,82,1317,13261,286506,180000000,291709845
7,396,144,840,1000,49684,54000,148379,178000000,154985087
9,645,152,22000,11000,57802,37000,1676169,185000000,533316061
8,408,96,840,262,2635,27000,665575,175000000,292979556
7,219,94,11,459,2579,13261,114553,175000000,198332128
8,486,126,4000,4000,39252,10000,696338,140000000,318298180
8,682,126,17000,1000,36017,42000,245333,170000000,73820094
5,85,106,188,582,15870,13261,129601,170000000,113745408
5,264,112,357,595,9131,13261,117927,145000000,102176165
7,418,123,452,329,11287,80000,118992,175000000,161087183
5,186,96,293,7000,108016,2000,115099,175000000,100289690
8,585,113,218,509,12652,77000,431620,178000000,100189501
6,91,176,58,60,1004,13261,144337,175000000,88246220
6,250,118,208,570,26683,13261,174578,175000000,150167630
8,536,95,840,384,2944,118000,345198,175000000,356454367
8,370,106,4000,591,32921,65000,106072,175000000,362645141
7,453,124,4000,4000,48638,18000,522371,200000000,312057433
6,416,132,274,11000,72881,53000,228554,170000000,155111815
7,401,97,171,846,15516,89000,252257,180000000,241407328
8,521,130,198,884,14363,45000,317542,170000000,208543795
5,10,109,596,283,1982,677,2138,39752620,48468407
6,218,128,47,982,20965,35000,116994,175000000,38297305
8,576,136,94,2000,36188,55000,496749,170000000,259746958
6,226,93,31,213,4628,13261,138661,165000000,238371987
7,443,130,663,604,5046,37000,128306,190000000,93417865
8,384,102,38,562,2963,41000,279093,165000000,222487711
8,377,101,66,833,4451,40000,272534,165000000,189412677
7,188,100,840,267,16264,10000,120798,165000000,665426
6,286,120,776,535,3233,67000,58137,165000000,102315545
8,288,98,255,759,20453,33000,485430,165000000,217387997
6,280,109,84,191,1769,13261,305340,200000000,150350192
8,653,121,571,3000,32438,96000,682155,170000000,333130696
9,712,169,22000,6000,31488,349000,928227,165000000,187991439
9,642,148,22000,23000,81115,175000,1468200,160000000,292568851
8,1,120,28,12,699,13261,374,39752620,48468407
8,645,182,840,773,9152,166000,637246,180000000,303001229
7,187,106,357,4000,45327,14000,272223,38000000,144512310
8,362,166,21000,919,13333,23000,459346,150000000,127490802
8,500,132,905,1000,50983,54000,518537,160000000,146405371
7,389,137,508,14000,81385,38000,166137,160000000,281666058
6,235,109,226,370,13388,11000,124185,150000000,63143812
6,231,98,249,702,92456,13261,82380,160000000,60655503
6,218,113,33,11000,80806,30000,21352,170000000,76846624
6,227,93,50,692,4705,13261,211971,160000000,320706665
7,275,123,840,648,5505,89000,111609,160000000,46978995
7,474,126,230,2000,38873,82000,188457,155000000,89732035
6,228,113,150,59,764,11000,106446,155000000,104383624
6,191,184,840,691,5401,13261,254111,140000000,198539855
7,396,144,840,581,2333,8000,513158,150000000,318759914
6,248,206,840,591,24598,13261,138863,155000000,34293771
8,329,138,282,687,33433,13261,355137,150000000,292000866
8,295,157,179,10000,53413,13261,385670,150000000,289994397
6,318,102,532,979,21584,13261,343648,150000000,227946274
7,323,104,508,558,13076,11000,530870,150000000,256386216
7,276,115,13000,588,57844,13261,320284,150000000,206456431
8,318,111,663,954,4764,10000,473887,150000000,206435493
8,478,128,22000,11000,59558,15000,980946,150000000,205343774
7,167,89,35,436,3285,13261,146019,150000000,179982968
6,185,105,189,1000,54039,2000,130272,150000000,177243721
7,350,119,151,2000,40054,13261,361924,150000000,179883016
7,245,129,840,233,1062,13261,364948,150000000,139259759
8,406,102,69,490,2582,58000,421658,150000000,400736600
7,275,138,840,30,534,13261,421818,150000000,281492479
7,486,112,230,12000,59803,63000,414070,170000000,206360018
8,739,120,750,943,40025,191000,552503,150000000,153629485
7,298,146,2000,294,16948,13261,207839,150000000,133375846
7,516,115,840,12000,60059,63000,536314,150000000,181015141
7,225,96,59,699,20007,13261,146766,150000000,114053579
5,145,88,12,182,2217,13261,33042,150000000,119420252
6,310,99,473,502,16184,19000,152826,150000000,83640426
6,526,113,13000,16000,80849,82000,199039,100000000,79711678
7,465,131,188,641,21840,47000,232187,150000000,195000874
6,357,119,394,162,13071,13261,89442,150000000,61937495
7,248,110,282,103,21175,29000,42372,180000000,124051759
6,194,91,58,826,6576,13261,105902,150000000,126597121
7,284,90,90,15,21015,20000,182718,150000000,165230261
4,280,103,840,346,2857,18000,118951,150000000,131564731
7,310,124,14000,979,34817,13261,256695,150000000,133382309
6,339,131,776,256,18204,33000,164238,150000000,73103784
5,132,88,25,433,2652,13261,17590,150000000,21379315
7,135,85,42,586,35161,13261,85086,149000000,64459316
6,256,111,456,394,21393,24000,39956,150000000,34964818
7,196,92,50,517,5810,11000,47900,145000000,111505642
7,220,196,249,844,17944,13261,381672,175000000,133228348
7,211,93,35,436,2444,17000,119213,145000000,216366733
6,264,133,93,746,2538,13261,169914,142000000,160201106
6,464,116,176,322,2097,62000,69757,144000000,118099659
7,167,153,840,537,26029,11000,322395,140000000,201573391
6,208,88,188,826,14823,2000,270207,140000000,190418803
6,287,115,840,964,31523,3000,142440,150000000,82161969
7,210,95,5,967,36095,24000,64322,145000000,143523463
7,432,133,663,690,21768,35000,365104,145000000,209364921
7,256,97,52,161,20645,25000,123553,145000000,103400692
6,135,90,23,233,1997,2000,110788,100000000,110332737
8,190,154,380,445,11945,13261,317166,140000000,111110575
6,314,150,840,748,26490,51000,128682,140000000,65007045
8,518,127,14000,981,39284,19000,504419,150000000,257704099
7,291,121,840,4000,40484,5000,544665,139000000,403706375
8,292,102,255,953,23378,46000,221128,145000000,176997107
6,184,126,295,284,19769,24000,51892,140000000,31141074
5,145,121,357,653,2705,13261,45455,135000000,31704416
8,451,215,840,413,2530,18000,392474,130000000,107503316
7,141,127,503,91,6171,13261,127497,140000000,129734803
6,267,138,840,258,1814,13261,212106,137000000,132122995
6,351,122,209,934,31958,42000,146352,130000000,122512052
6,163,124,42,848,13073,13261,77673,130000000,68642452
6,166,106,6,422,15015,13261,72259,137000000,32131830
7,510,124,394,2000,19761,46000,508818,140000000,176636816
6,197,128,150,244,2037,2000,157519,135000000,126930660
7,244,138,608,168,1205,13261,168207,150000000,93926386
6,322,115,386,12000,59177,65000,185394,120000000,292298923
6,156,100,750,988,62644,13261,32399,135000000,63992328
7,354,135,255,882,5811,13261,326286,150000000,134518390
8,21,60,840,184,1687,13261,16769,1500000,48468407
7,252,117,14000,358,1950,27000,12572,140000000,52792307
8,556,156,840,733,57108,190000,406020,135000000,183635922
7,166,96,13,463,17416,13000,62424,135000000,83024900
7,362,107,563,939,43291,26000,183208,135000000,123207194
7,153,92,35,179,19963,11000,60230,132000000,83348920
8,329,115,521,883,17369,13261,491077,110000000,227137090
8,266,92,54,562,12754,6000,307029,130000000,215395021
7,517,117,235,680,5730,61000,313866,130000000,180191634
8,502,146,508,523,49355,82000,498397,130000000,424645577
6,322,115,386,12000,59177,65000,185394,120000000,292298923
7,165,94,12,183,17883,26000,70121,135000000,177343675
7,401,116,14000,807,12758,13261,334345,132000000,234277056
7,94,147,840,877,12954,13261,178126,130000000,138396624
7,246,90,50,397,5046,16000,114287,130000000,149234747
6,330,101,176,282,12406,23000,245621,110000000,118311368
6,434,138,840,8000,32355,71000,200022,125000000,101160529
7,440,107,14000,845,4631,44000,177383,135000000,77564037
8,274,142,840,10000,33284,11000,382255,130000000,249358727
7,245,165,1000,165,921,13261,102338,130000000,49551662
5,349,100,840,894,14168,37000,158720,130000000,60522097
7,145,82,840,388,2945,13261,38438,127500000,137748063
8,1,107,840,159,11036,40,381,39752620,48468407
6,154,98,189,1000,53587,11000,67223,127000000,113733726
7,233,95,96,8000,46120,13000,172754,130000000,148337537
8,258,159,840,645,13191,16000,444683,125000000,317557891
6,208,96,124,1000,31549,20000,91640,130000000,33592415
8,1,120,28,12,699,13261,374,39752620,48468407
8,271,143,563,1000,48184,10000,809474,140000000,305388685
6,4,107,840,1000,14719,25,252,39752620,48468407
7,403,123,508,14000,81385,52000,305008,125000000,337103873
7,294,174,2000,362,16008,13261,314253,125000000,217536138
6,159,101,107,56,1031,13261,58498,103000000,131536019
8,289,134,840,346,20952,13261,405973,110000000,214948780
7,342,132,681,12000,55345,54000,284792,125000000,209805005
8,382,129,840,154,22403,39000,338635,125000000,186830669
6,344,106,255,850,18003,15000,229679,125000000,163192114
8,196,113,719,217,1441,13261,240241,65000000,119412921
7,85,102,323,241,1815,13261,101411,85000000,32694788
7,436,135,209,602,12175,31000,229823,125000000,113165635
4,183,125,541,409,2699,13261,189855,125000000,107285004
6,175,110,2000,636,4146,13261,141414,123000000,260031035
6,239,124,776,812,20553,19000,333248,125000000,186739919
6,237,123,610,653,11930,13261,242188,125000000,215397307
6,231,130,249,461,2684,13261,133076,140000000,182618434
6,262,92,167,702,15302,13261,213275,130000000,131920333
8,552,127,840,341,2121,122000,440084,120000000,124976634
5,276,123,160,402,14017,13261,182661,110000000,115802596
7,267,123,521,265,13752,31000,40123,120000000,108521835
5,102,107,368,1000,4046,13261,100821,120000000,100685880
7,775,124,840,641,24098,97000,456260,130000000,126464904
5,71,77,50,537,2682,459,36471,120000000,64736114
7,476,109,662,1000,17689,61000,338087,115000000,93050117
7,207,134,123,567,17159,13261,183909,105000000,57637485
6,492,117,294,1000,14161,60000,182899,100000000,58607007
6,284,135,840,87,902,13261,57873,120000000,43929341
5,168,121,274,157,993,13261,35066,120000000,30212620
6,283,117,446,877,12731,11000,148280,117000000,76418654
7,539,124,364,1000,22004,71000,387436,120000000,89021735
8,359,140,840,4000,44042,10000,520104,113000000,380262555
7,284,142,840,4000,42990,13261,464310,115000000,310675583
8,250,92,840,773,15013,13261,585659,115000000,289907418
7,440,138,446,929,23755,68000,328067,120000000,132550960
7,320,136,840,1000,37723,13000,534658,115000000,474544677
7,257,98,16,12000,43286,28000,150618,135000000,187165546
5,33,116,840,141,1609,291,20567,78000000,48468407
6,152,153,610,617,15046,13261,55994,115000000,40911830
6,231,120,19,9000,46719,16000,37750,115000000,47952020
6,348,101,473,429,2690,62000,167085,125000000,190871240
8,738,91,840,13,87,147000,582917,100000000,274084951
6,93,108,79,268,1569,13261,62271,116000000,67155742
6,181,112,13,799,8306,12000,17533,135000000,81638674
4,369,100,128,78,1261,41000,110486,120000000,56114221
6,179,108,189,1000,55486,3000,234480,110000000,250863268
6,358,114,62,884,16718,52000,147497,110000000,155181732
7,160,119,55,387,2958,13261,149680,110000000,125332007
7,192,142,776,1000,19454,4000,207613,110000000,113330342
6,198,125,840,350,19359,13261,284852,110000000,125531634
7,233,126,218,322,22722,13261,348861,120000000,186336103
6,263,119,124,1000,22622,27000,154621,110000000,129995817
8,267,170,17000,827,34582,13261,264318,110000000,102608827
5,184,85,11,116,1173,13261,53160,112000000,42776259
6,447,119,1000,741,13391,14000,136019,120000000,98780042
8,29,60,840,432,1655,13261,25402,39752620,48468407
6,366,102,263,1000,10583,71000,225273,110000000,106369117
6,172,103,67,111,692,31000,66593,110000000,142614158
5,104,76,6,421,13607,304,13581,110000000,50026353
6,181,120,124,943,12452,12000,44296,110000000,66002193
7,327,127,189,544,22254,36000,254841,110000000,85463309
5,125,105,67,40,914,13261,27257,105000000,71017784
4,79,121,101,202,2027,894,60573,160000000,48068396
7,326,114,151,430,12908,123000,184561,110000000,61656849
7,354,129,235,297,13961,13261,336235,110000000,134520804
9,297,171,840,857,22342,21000,1238746,93000000,313837577
6,188,120,153,447,3175,13261,68720,110000000,24004159
7,174,165,840,780,14196,13261,79186,107000000,58183966
4,109,82,34,434,2762,946,36033,109000000,100446895
7,225,115,295,466,12068,13261,387632,120000000,144795350
7,239,194,840,195,19600,13261,217373,130000000,47396698
6,101,84,50,692,3382,13261,94172,133000000,140015224
7,228,97,63,525,2480,5000,89351,105000000,104374107
8,568,151,840,372,14831,153000,472488,108000000,228430993
7,140,22,840,656,5,13261,6,39752620,48468407
7,257,136,840,3000,34839,13261,263329,126000000,35799026
4,62,104,23,591,3133,53,4102,90000000,6712451
7,175,127,57,3000,29069,13261,218341,90000000,101643008
9,265,171,840,695,6521,21000,982637,103000000,187670866
8,252,145,14000,533,12546,13261,399651,102000000,132014112
7,232,174,840,9000,35672,13261,387616,100000000,261970615
8,400,144,258,834,9125,13261,470483,150000000,167007184
6,230,119,13000,567,2776,13261,177725,100000000,180011740
9,210,153,840,539,2829,13000,744891,102000000,204843350
7,357,140,840,1000,64599,13261,230931,100000000,97030725
8,300,176,840,561,20354,13261,324671,100000000,130127620
7,94,141,840,618,4528,13261,190439,115000000,146282411
6,267,106,12000,385,19906,13261,149998,100000000,65452312
6,180,98,80,708,24082,13261,85531,100000000,148383780
7,265,116,285,107,20233,16000,189806,100000000,119219978
6,81,115,55,383,3454,13261,84424,100000000,101228120
9,765,165,16000,265,40978,199000,955174,100000000,162804648
7,80,91,21,542,4842,13261,102933,100000000,100117603
7,141,78,10,253,2039,13261,128285,100000000,89296573
7,383,103,165,13000,57881,108000,246803,92000000,85017401
7,193,131,226,341,13679,13261,255447,100000000,173005002
5,170,104,14,203,4487,13261,108076,100000000,75030163
7,333,101,840,279,1738,11000,87677,100000000,77222184
6,256,111,456,394,21393,24000,39956,150000000,34964818
7,203,102,77,120,14552,17000,85833,100000000,107515297
6,321,103,207,3000,55175,25000,176598,100000000,67631157
6,174,121,840,595,3903,2000,89509,83000000,66862068
8,166,143,380,452,33160,14000,400292,100000000,57366262
8,606,240,17000,4000,46057,138000,780588,100000000,116866727
5,144,121,541,680,2880,13261,190786,100000000,184031112
7,192,129,719,423,2031,13261,221521,105000000,54700065
8,511,172,670,1000,22686,124000,284825,102000000,27098580
7,188,101,840,577,4286,16000,65785,80000000,55673333
3,212,87,26,566,3144,13261,87451,100000000,40198710
6,245,101,420,467,16235,21000,115687,100000000,72660029
7,127,95,63,720,26940,13261,71527,140000000,38120554
5,167,102,52,526,10552,13261,52029,100000000,49392095
6,320,131,385,11000,52610,56000,127258,90000000,39292022
5,163,114,19,848,3962,37000,33953,105000000,28772222
2,78,94,6,227,1195,881,40751,84000000,17010646
7,289,122,2000,571,28328,27000,71782,100000000,24985612
4,66,95,31,683,6161,416,20295,100000000,4411102
7,266,115,521,95,13761,13261,110364,100000000,35024475
7,208,88,20,36,309,33000,27918,99000000,130174897
7,97,110,342,393,1722,578,18697,10000000,10200000
6,202,130,208,591,15972,13261,248045,98000000,202007640
8,233,216,17000,1000,47657,13261,314033,100000000,77679638
8,136,146,611,28,23240,13000,38690,94000000,9213
7,154,85,9,970,25590,13261,54077,100000000,58867694
5,169,93,840,465,13748,13261,49739,90000000,59475623
8,200,152,840,557,4270,10000,292022,92000000,108638745
6,255,85,116,329,9271,18000,106790,95000000,86897182
8,173,126,840,10000,39319,18000,343274,93000000,63540020
4,221,146,127,722,4555,13261,59581,100000000,95328937
7,82,89,10,442,3372,13261,58300,95000000,50802661
7,233,88,20,916,25354,14000,145321,95000000,161317423
7,343,105,840,502,4671,56000,103737,95000000,201148159
7,308,135,840,310,2370,16000,125109,65000000,43982842
8,301,100,475,799,5641,11000,692482,94000000,380838870
9,328,192,840,416,6434,16000,1215718,94000000,377019252
9,294,172,840,857,23052,10000,1100446,94000000,340478898
6,175,102,44,766,17098,16000,54501,95000000,17176900
6,199,100,165,240,12150,13261,157016,115000000,131144183
6,355,119,840,968,54031,37000,172707,100000000,23014504
6,198,92,394,527,2574,13261,219501,93000000,181166115
8,529,105,81,779,13118,47000,403836,93000000,176740650
7,198,107,70,330,1614,13261,68935,90000000,71148699
5,412,101,212,476,15481,66000,165618,92000000,67344392
6,106,137,102,877,5780,701,16832,107000000,22406362
8,283,115,663,55,1901,13261,479166,92000000,261437578
6,61,124,212,810,3611,1000,21102,98000000,11000000
6,217,118,840,1000,14024,9000,141179,95000000,88761720
7,175,98,188,602,12998,13261,403014,90000000,250147615
8,191,82,487,967,21275,13261,385871,90000000,245823397
7,316,98,12000,1000,25780,18000,149947,100000000,81557479
7,127,90,420,141,664,13261,160440,90000000,226138454
7,185,130,840,568,12890,13261,98403,100000000,155370362
7,191,90,97,56,1227,13261,152601,100000000,124870275
7,188,94,107,117,1258,13261,166791,90000000,196573705
7,362,114,840,423,5095,70000,236421,90000000,58229120
6,181,94,368,466,15419,13261,145350,92000000,125305545
9,352,151,17000,1000,45648,29000,873649,90000000,132373442
8,143,88,7,484,4478,12000,171792,90000000,120618403
7,308,121,840,918,23484,13261,307539,92000000,110416702
8,517,158,21000,585,20388,54000,330152,90000000,102515793
8,148,128,323,489,14274,13261,299258,90000000,100012500
8,415,128,840,727,23996,20000,477300,90000000,209019489
6,1,141,335,635,13379,13261,57,39752620,48468407
7,146,95,21,503,15237,13261,72591,120000000,84037039
5,70,92,12,1000,38450,13261,9418,90000000,85884815
7,269,121,840,919,14165,13261,183247,75000000,83077470
6,198,113,221,503,13446,13261,156348,90000000,100018837
6,253,106,840,1000,35367,39000,89770,88000000,78747585
7,281,146,14000,681,6217,11000,238747,100000000,78616689
5,122,88,50,441,2622,988,32049,90000000,75817994
7,159,150,840,135,12289,15000,200556,90000000,100853835
6,180,119,719,423,2356,13261,101834,95000000,73209340
6,227,128,521,249,2100,13261,86152,80000000,72515360
6,183,106,87,918,10882,28000,86627,90000000,68558662
6,157,117,101,3000,33154,13261,102747,95000000,65653758
7,196,129,209,886,23031,15000,40862,90000000,64685359
6,64,116,176,84,475,13261,52136,68000000,61355436
7,142,114,12000,307,12499,13261,121259,92000000,26871
6,181,114,840,281,4902,13261,60467,90000000,60874615
7,240,96,107,350,12071,19000,165333,90000000,143618384
7,93,132,840,957,55254,13261,87785,100000000,58220776
5,84,104,81,612,5062,2000,58227,90000000,47474112
6,66,111,79,2000,26088,979,45602,86000000,42877165
7,136,138,840,123,15149,13261,49311,100000000,35168677
4,369,100,128,78,1261,41000,110486,120000000,56114221
7,166,129,468,183,2024,13261,113065,20000000,37567440
8,201,144,2000,537,2523,13261,148238,88000000,61644321
4,47,110,96,554,2728,788,2508,90000000,190562
7,175,140,378,599,13808,13261,57661,87000000,120147445
6,114,113,101,848,26239,13261,144053,92000000,241688385
7,187,106,357,4000,45327,14000,272223,38000000,144512310
8,221,143,840,272,15838,23000,394317,90000000,233630478
7,206,108,750,971,70996,13261,132501,100000000,197992827
8,239,108,521,129,14161,13261,348232,75000000,176049130
6,142,124,249,936,23603,13261,146134,85000000,172620724
8,186,116,840,471,13028,13261,402645,85000000,183405771
6,228,110,545,5000,27694,19000,88542,75000000,20315324
7,256,91,266,11000,37142,28000,164148,85000000,148313048
7,222,107,36,118,662,13261,142496,85000000,127706877
9,103,44,840,148,996,59000,159910,39752620,48468407
7,298,115,79,820,36237,19000,166693,85000000,126149655
5,84,100,36,439,4182,372,26413,85000000,66941559
6,236,104,420,535,3768,13261,110073,75000000,78009155
7,157,138,278,213,17423,19000,182757,85000000,63224849
7,81,140,12000,619,11951,13261,188116,90000000,111544445
7,187,120,278,963,15226,13261,69860,85000000,112703470
7,238,122,840,11000,43499,13261,256928,85000000,117144465
6,107,83,28,624,6081,863,65270,85000000,84303558
7,459,139,168,1000,22226,49000,341058,85000000,150832203
8,187,131,218,29,5103,13261,188887,68000000,51396781
7,151,104,532,557,16930,13261,82731,85000000,47592825
6,80,130,323,330,2407,13261,106528,70000000,50016394
7,229,145,252,210,2380,13261,119286,85000000,57010853
6,158,104,681,159,1235,13261,179500,85000000,62494975
7,190,97,6,561,2707,13261,35446,100000000,46440491
7,98,178,102,551,23950,10000,169023,90000000,44606335
6,135,108,99,172,1460,941,61417,85000000,40048332
8,84,123,189,87,1476,13261,19228,39752620,48468407
6,382,106,763,809,11454,18000,70838,85000000,64933670
8,393,112,1000,719,12687,36000,273921,60000000,31494270
5,149,135,36,106,1439,13261,77029,60000000,31111260
4,94,109,88,571,2818,374,39391,65000000,123307945
5,138,86,67,271,6355,13261,71424,84000000,153288182
7,432,95,38,20,578,46000,203458,35000000,13401683
6,173,107,153,233,12700,7000,246492,70000000,137340146
7,127,130,840,602,2662,13261,29932,8000000,48468407
4,91,82,62,615,3326,13261,10233,85000000,43575716
6,238,88,218,521,21863,13261,243053,85000000,80170146
7,345,120,840,160,3632,3000,208422,85000000,75754670
8,377,162,21000,495,36928,12000,301279,65000000,33048353
6,170,123,55,956,5839,13261,100001,82000000,34543701
7,191,101,293,1000,21276,13261,296904,81000000,242589580
7,424,113,13000,5000,46355,57000,270226,80000000,102981571
7,154,110,840,898,12760,13261,300542,80000000,180965237
7,673,142,378,575,49942,140000,701607,78000000,407999255
7,383,102,480,461,16143,56000,375879,80000000,254455986
7,153,126,13000,390,2899,13261,215255,80000000,162831698
7,166,83,12,925,22813,13261,127345,80000000,155019340
7,180,85,255,443,3112,13261,117212,80000000,145771527
6,120,97,56,852,23907,13261,27838,39752620,82506325
6,125,120,75,3000,22750,13261,135601,75000000,140459099
7,234,116,23,110,25220,22000,125036,84000000,53215979
6,134,113,88,421,13693,13261,130070,82000000,158115031
4,91,87,31,733,4073,13261,22838,75000000,133103929
5,139,101,221,11000,39269,14000,107817,80000000,133668525
7,265,110,88,11000,44798,13261,168172,80000000,130313314
7,145,128,278,343,22679,13261,91092,80000000,124590960
8,490,138,17000,163,29585,53000,786092,80000000,127968405
6,141,88,91,982,9913,13261,48500,80000000,120136047
6,163,91,77,208,1804,13261,103022,75000000,128200012
7,155,138,610,805,17087,11000,283967,80000000,112225777
6,144,99,163,495,12831,13261,72326,80000000,109993847
8,226,117,840,818,16828,13261,200359,80000000,104054514
6,204,117,221,503,16325,19000,172878,80000000,103028109
9,95,54,840,656,581,55000,213483,39752620,48468407
7,139,123,165,744,15362,13261,225282,75000000,101087161
7,215,118,154,915,5637,13261,150764,80000000,101111837
7,198,154,333,16000,61110,13261,118483,79000000,95632614
7,325,118,117,10000,44797,20000,227072,80000000,94822707
5,53,90,10,159,50005,13261,63625,80000000,92969824
5,167,113,101,913,17786,13261,58184,80000000,91188905
6,46,88,30,366,15001,13261,112167,80000000,90443603
6,147,93,189,38,1267,13261,65499,65000000,82226474
6,276,104,301,71,22194,13261,139423,80000000,79363785
7,80,135,503,67,8355,13261,76099,75000000,76081498
8,406,134,452,697,20411,82000,303185,68000000,85707116
6,97,98,425,397,12729,13261,60910,70000000,74329966
5,143,80,40,375,4394,13261,16385,80000000,100169068
7,106,83,21,495,14261,4000,44143,80000000,73215310
5,178,102,153,269,5392,13261,44662,80000000,80360866
5,102,130,81,427,12186,13261,58402,80000000,69102910
7,209,129,438,502,20056,13261,86422,80000000,65948711
7,19,117,69,87,1753,91,666,39752620,821997
7,152,89,266,859,26839,16000,56501,80000000,169692572
8,31,25,840,474,2614,13261,11427,39752620,48468407
7,129,74,11,62,814,607,27543,80000000,60507228
6,124,96,25,102,1919,3000,103787,80000000,56684819
6,35,114,31,372,10731,13261,22955,90000000,50628009
7,166,99,57,820,25942,13261,155532,80000000,69772969
6,137,129,258,163,2864,951,71574,75000000,45356386
7,121,113,25,129,49631,32000,83560,85000000,55350897
5,87,90,65,658,25190,13261,80639,80000000,39442871
6,233,118,840,871,27114,13261,98472,88000000,37899638
6,132,106,13000,733,22590,13261,172217,70000000,37754208
6,63,81,92,8,54,257,979,39752620,48468407
7,95,117,93,904,14831,13261,55913,39752620,27779888
6,258,89,84,1000,18132,13261,151424,80000000,38542418
7,162,145,79,183,1825,13261,45231,80000000,34566746
6,61,114,357,366,25126,13261,53132,80000000,32885565
5,113,87,43,210,1971,13261,8913,80000000,36073232
2,174,119,64,41,971,13261,65464,44000000,21471685
6,101,91,287,695,5593,665,24183,80000000,20950820
6,205,118,252,30,619,13261,37446,80000000,19673424
6,123,116,503,982,43887,13261,53057,80000000,19480739
6,79,177,840,582,4346,13261,56403,80000000,17593391
6,61,97,750,231,2521,964,24868,80000000,18318000
6,202,106,42,612,16922,21000,58752,90000000,27356090
6,145,106,14,656,2,995,47612,70000000,17473245
6,101,94,840,14,683,941,25843,86000000,15131330
8,113,104,63,7,152,13261,7630,40000000,19406406
4,113,102,840,212,1890,785,16474,52000000,1891821
6,272,105,545,74,1099,20000,84508,80000000,23219748
4,3,89,840,20,370,138,230,8000000,48468407
8,205,135,2000,535,2827,29000,610568,58000000,170708996
