imdb_score,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,budget,gross
8,406,102,69,490,2582,150000000,400736600
7,275,138,840,30,534,150000000,281492479
7,486,112,230,12000,59803,170000000,206360018
8,739,120,750,943,40025,150000000,153629485
7,298,146,2000,294,16948,150000000,133375846
7,516,115,840,12000,60059,150000000,181015141
7,225,96,59,699,20007,150000000,114053579
5,145,88,12,182,2217,150000000,119420252
6,310,99,473,502,16184,150000000,83640426
6,526,113,13000,16000,80849,100000000,79711678
7,465,131,188,641,21840,150000000,195000874
6,357,119,394,162,13071,150000000,61937495
7,248,110,282,103,21175,180000000,124051759
6,194,91,58,826,6576,150000000,126597121
7,284,90,90,15,21015,150000000,165230261
4,280,103,840,346,2857,150000000,131564731
7,310,124,14000,979,34817,150000000,133382309
6,339,131,776,256,18204,150000000,73103784
5,132,88,25,433,2652,150000000,21379315
7,135,85,42,586,35161,149000000,64459316
6,256,111,456,394,21393,150000000,34964818
7,196,92,50,517,5810,145000000,111505642
7,220,196,249,844,17944,175000000,133228348
7,211,93,35,436,2444,145000000,216366733
6,264,133,93,746,2538,142000000,160201106
6,464,116,176,322,2097,144000000,118099659
7,167,153,840,537,26029,140000000,201573391
6,208,88,188,826,14823,140000000,190418803
6,287,115,840,964,31523,150000000,82161969
7,210,95,5,967,36095,145000000,143523463
7,432,133,663,690,21768,145000000,209364921
7,256,97,52,161,20645,145000000,103400692
6,135,90,23,233,1997,100000000,110332737
8,190,154,380,445,11945,140000000,111110575
6,314,150,840,748,26490,140000000,65007045
8,518,127,14000,981,39284,150000000,257704099
7,291,121,840,4000,40484,139000000,403706375
8,292,102,255,953,23378,145000000,176997107
6,184,126,295,284,19769,140000000,31141074
5,145,121,357,653,2705,135000000,31704416
8,451,215,840,413,2530,130000000,107503316
7,141,127,503,91,6171,140000000,129734803
6,267,138,840,258,1814,137000000,132122995
6,351,122,209,934,31958,130000000,122512052
6,163,124,42,848,13073,130000000,68642452
6,166,106,6,422,15015,137000000,32131830
7,510,124,394,2000,19761,140000000,176636816
6,197,128,150,244,2037,135000000,126930660
7,244,138,608,168,1205,150000000,93926386
6,322,115,386,12000,59177,120000000,292298923
6,156,100,750,988,62644,135000000,63992328
7,354,135,255,882,5811,150000000,134518390
8,21,60,840,184,1687,1500000,48468407
7,252,117,14000,358,1950,140000000,52792307
8,556,156,840,733,57108,135000000,183635922
7,166,96,13,463,17416,135000000,83024900
7,362,107,563,939,43291,135000000,123207194
7,153,92,35,179,19963,132000000,83348920
8,329,115,521,883,17369,110000000,227137090
8,266,92,54,562,12754,130000000,215395021
7,517,117,235,680,5730,130000000,180191634
8,502,146,508,523,49355,130000000,424645577
6,322,115,386,12000,59177,120000000,292298923
7,165,94,12,183,17883,135000000,177343675
7,401,116,14000,807,12758,132000000,234277056
7,94,147,840,877,12954,130000000,138396624
7,246,90,50,397,5046,130000000,149234747
6,330,101,176,282,12406,110000000,118311368
6,434,138,840,8000,32355,125000000,101160529
7,440,107,14000,845,4631,135000000,77564037
8,274,142,840,10000,33284,130000000,249358727
7,245,165,1000,165,921,130000000,49551662
5,349,100,840,894,14168,130000000,60522097
7,145,82,840,388,2945,127500000,137748063
8,1,107,840,159,11036,39752620,48468407
6,154,98,189,1000,53587,127000000,113733726
7,233,95,96,8000,46120,130000000,148337537
8,258,159,840,645,13191,125000000,317557891
6,208,96,124,1000,31549,130000000,33592415
8,1,120,28,12,699,39752620,48468407
8,271,143,563,1000,48184,140000000,305388685
6,4,107,840,1000,14719,39752620,48468407
7,403,123,508,14000,81385,125000000,337103873
7,294,174,2000,362,16008,125000000,217536138
6,159,101,107,56,1031,103000000,131536019
8,289,134,840,346,20952,110000000,214948780
7,342,132,681,12000,55345,125000000,209805005
8,382,129,840,154,22403,125000000,186830669
6,344,106,255,850,18003,125000000,163192114
8,196,113,719,217,1441,65000000,119412921
7,85,102,323,241,1815,85000000,32694788
7,436,135,209,602,12175,125000000,113165635
4,183,125,541,409,2699,125000000,107285004
6,175,110,2000,636,4146,123000000,260031035
6,239,124,776,812,20553,125000000,186739919
6,237,123,610,653,11930,125000000,215397307
6,231,130,249,461,2684,140000000,182618434
6,262,92,167,702,15302,130000000,131920333
8,552,127,840,341,2121,120000000,124976634
5,276,123,160,402,14017,110000000,115802596
7,267,123,521,265,13752,120000000,108521835
5,102,107,368,1000,4046,120000000,100685880
7,775,124,840,641,24098,130000000,126464904
5,71,77,50,537,2682,120000000,64736114
7,476,109,662,1000,17689,115000000,93050117
7,207,134,123,567,17159,105000000,57637485
6,492,117,294,1000,14161,100000000,58607007
6,284,135,840,87,902,120000000,43929341
5,168,121,274,157,993,120000000,30212620
6,283,117,446,877,12731,117000000,76418654
7,539,124,364,1000,22004,120000000,89021735
8,359,140,840,4000,44042,113000000,380262555
7,284,142,840,4000,42990,115000000,310675583
8,250,92,840,773,15013,115000000,289907418
7,440,138,446,929,23755,120000000,132550960
7,320,136,840,1000,37723,115000000,474544677
7,257,98,16,12000,43286,135000000,187165546
5,33,116,840,141,1609,78000000,48468407
6,152,153,610,617,15046,115000000,40911830
6,231,120,19,9000,46719,115000000,47952020
6,348,101,473,429,2690,125000000,190871240
8,738,91,840,13,87,100000000,274084951
6,93,108,79,268,1569,116000000,67155742
6,181,112,13,799,8306,135000000,81638674
4,369,100,128,78,1261,120000000,56114221
6,179,108,189,1000,55486,110000000,250863268
6,358,114,62,884,16718,110000000,155181732
7,160,119,55,387,2958,110000000,125332007
7,192,142,776,1000,19454,110000000,113330342
6,198,125,840,350,19359,110000000,125531634
7,233,126,218,322,22722,120000000,186336103
6,263,119,124,1000,22622,110000000,129995817
8,267,170,17000,827,34582,110000000,102608827
5,184,85,11,116,1173,112000000,42776259
6,447,119,1000,741,13391,120000000,98780042
8,29,60,840,432,1655,39752620,48468407
6,366,102,263,1000,10583,110000000,106369117
6,172,103,67,111,692,110000000,142614158
5,104,76,6,421,13607,110000000,50026353
6,181,120,124,943,12452,110000000,66002193
7,327,127,189,544,22254,110000000,85463309
5,125,105,67,40,914,105000000,71017784
4,79,121,101,202,2027,160000000,48068396
7,326,114,151,430,12908,110000000,61656849
7,354,129,235,297,13961,110000000,134520804
9,297,171,840,857,22342,93000000,313837577
6,188,120,153,447,3175,110000000,24004159
7,174,165,840,780,14196,107000000,58183966
4,109,82,34,434,2762,109000000,100446895
7,225,115,295,466,12068,120000000,144795350
7,239,194,840,195,19600,130000000,47396698
6,101,84,50,692,3382,133000000,140015224
7,228,97,63,525,2480,105000000,104374107
8,568,151,840,372,14831,108000000,228430993
7,140,22,840,656,5,39752620,48468407
7,257,136,840,3000,34839,126000000,35799026
4,62,104,23,591,3133,90000000,6712451
7,175,127,57,3000,29069,90000000,101643008
9,265,171,840,695,6521,103000000,187670866
8,252,145,14000,533,12546,102000000,132014112
7,232,174,840,9000,35672,100000000,261970615
8,400,144,258,834,9125,150000000,167007184
6,230,119,13000,567,2776,100000000,180011740
9,210,153,840,539,2829,102000000,204843350
7,357,140,840,1000,64599,100000000,97030725
8,300,176,840,561,20354,100000000,130127620
7,94,141,840,618,4528,115000000,146282411
6,267,106,12000,385,19906,100000000,65452312
6,180,98,80,708,24082,100000000,148383780
7,265,116,285,107,20233,100000000,119219978
6,81,115,55,383,3454,100000000,101228120
9,765,165,16000,265,40978,100000000,162804648
7,80,91,21,542,4842,100000000,100117603
7,141,78,10,253,2039,100000000,89296573
7,383,103,165,13000,57881,92000000,85017401
7,193,131,226,341,13679,100000000,173005002
5,170,104,14,203,4487,100000000,75030163
7,333,101,840,279,1738,100000000,77222184
6,256,111,456,394,21393,150000000,34964818
7,203,102,77,120,14552,100000000,107515297
6,321,103,207,3000,55175,100000000,67631157
6,174,121,840,595,3903,83000000,66862068
8,166,143,380,452,33160,100000000,57366262
8,606,240,17000,4000,46057,100000000,116866727
5,144,121,541,680,2880,100000000,184031112
7,192,129,719,423,2031,105000000,54700065
8,511,172,670,1000,22686,102000000,27098580
7,188,101,840,577,4286,80000000,55673333
3,212,87,26,566,3144,100000000,40198710
6,245,101,420,467,16235,100000000,72660029
7,127,95,63,720,26940,140000000,38120554
5,167,102,52,526,10552,100000000,49392095
6,320,131,385,11000,52610,90000000,39292022
5,163,114,19,848,3962,105000000,28772222
2,78,94,6,227,1195,84000000,17010646
7,289,122,2000,571,28328,100000000,24985612
4,66,95,31,683,6161,100000000,4411102
7,266,115,521,95,13761,100000000,35024475
7,208,88,20,36,309,99000000,130174897
7,97,110,342,393,1722,10000000,10200000
6,202,130,208,591,15972,98000000,202007640
8,233,216,17000,1000,47657,100000000,77679638
8,136,146,611,28,23240,94000000,9213
7,154,85,9,970,25590,100000000,58867694
5,169,93,840,465,13748,90000000,59475623
8,200,152,840,557,4270,92000000,108638745
6,255,85,116,329,9271,95000000,86897182
8,173,126,840,10000,39319,93000000,63540020
4,221,146,127,722,4555,100000000,95328937
7,82,89,10,442,3372,95000000,50802661
7,233,88,20,916,25354,95000000,161317423
7,343,105,840,502,4671,95000000,201148159
7,308,135,840,310,2370,65000000,43982842
8,301,100,475,799,5641,94000000,380838870
9,328,192,840,416,6434,94000000,377019252
9,294,172,840,857,23052,94000000,340478898
6,175,102,44,766,17098,95000000,17176900
6,199,100,165,240,12150,115000000,131144183
6,355,119,840,968,54031,100000000,23014504
6,198,92,394,527,2574,93000000,181166115
8,529,105,81,779,13118,93000000,176740650
7,198,107,70,330,1614,90000000,71148699
5,412,101,212,476,15481,92000000,67344392
6,106,137,102,877,5780,107000000,22406362
8,283,115,663,55,1901,92000000,261437578
6,61,124,212,810,3611,98000000,11000000
6,217,118,840,1000,14024,95000000,88761720
7,175,98,188,602,12998,90000000,250147615
8,191,82,487,967,21275,90000000,245823397
7,316,98,12000,1000,25780,100000000,81557479
7,127,90,420,141,664,90000000,226138454
7,185,130,840,568,12890,100000000,155370362
7,191,90,97,56,1227,100000000,124870275
7,188,94,107,117,1258,90000000,196573705
7,362,114,840,423,5095,90000000,58229120
6,181,94,368,466,15419,92000000,125305545
9,352,151,17000,1000,45648,90000000,132373442
8,143,88,7,484,4478,90000000,120618403
7,308,121,840,918,23484,92000000,110416702
8,517,158,21000,585,20388,90000000,102515793
8,148,128,323,489,14274,90000000,100012500
8,415,128,840,727,23996,90000000,209019489
6,1,141,335,635,13379,39752620,48468407
7,146,95,21,503,15237,120000000,84037039
5,70,92,12,1000,38450,90000000,85884815
7,269,121,840,919,14165,75000000,83077470
6,198,113,221,503,13446,90000000,100018837
6,253,106,840,1000,35367,88000000,78747585
7,281,146,14000,681,6217,100000000,78616689
5,122,88,50,441,2622,90000000,75817994
7,159,150,840,135,12289,90000000,100853835
6,180,119,719,423,2356,95000000,73209340
6,227,128,521,249,2100,80000000,72515360
6,183,106,87,918,10882,90000000,68558662
6,157,117,101,3000,33154,95000000,65653758
7,196,129,209,886,23031,90000000,64685359
6,64,116,176,84,475,68000000,61355436
7,142,114,12000,307,12499,92000000,26871
6,181,114,840,281,4902,90000000,60874615
7,240,96,107,350,12071,90000000,143618384
7,93,132,840,957,55254,100000000,58220776
5,84,104,81,612,5062,90000000,47474112
6,66,111,79,2000,26088,86000000,42877165
7,136,138,840,123,15149,100000000,35168677
4,369,100,128,78,1261,120000000,56114221
7,166,129,468,183,2024,20000000,37567440
8,201,144,2000,537,2523,88000000,61644321
4,47,110,96,554,2728,90000000,190562
7,175,140,378,599,13808,87000000,120147445
6,114,113,101,848,26239,92000000,241688385
7,187,106,357,4000,45327,38000000,144512310
8,221,143,840,272,15838,90000000,233630478
7,206,108,750,971,70996,100000000,197992827
8,239,108,521,129,14161,75000000,176049130
6,142,124,249,936,23603,85000000,172620724
8,186,116,840,471,13028,85000000,183405771
6,228,110,545,5000,27694,75000000,20315324
7,256,91,266,11000,37142,85000000,148313048
7,222,107,36,118,662,85000000,127706877
9,103,44,840,148,996,39752620,48468407
7,298,115,79,820,36237,85000000,126149655
5,84,100,36,439,4182,85000000,66941559
6,236,104,420,535,3768,75000000,78009155
7,157,138,278,213,17423,85000000,63224849
7,81,140,12000,619,11951,90000000,111544445
7,187,120,278,963,15226,85000000,112703470
7,238,122,840,11000,43499,85000000,117144465
6,107,83,28,624,6081,85000000,84303558
7,459,139,168,1000,22226,85000000,150832203
8,187,131,218,29,5103,68000000,51396781
7,151,104,532,557,16930,85000000,47592825
6,80,130,323,330,2407,70000000,50016394
7,229,145,252,210,2380,85000000,57010853
6,158,104,681,159,1235,85000000,62494975
7,190,97,6,561,2707,100000000,46440491
7,98,178,102,551,23950,90000000,44606335
6,135,108,99,172,1460,85000000,40048332
8,84,123,189,87,1476,39752620,48468407
6,382,106,763,809,11454,85000000,64933670
8,393,112,1000,719,12687,60000000,31494270
5,149,135,36,106,1439,60000000,31111260
4,94,109,88,571,2818,65000000,123307945
5,138,86,67,271,6355,84000000,153288182
7,432,95,38,20,578,35000000,13401683
6,173,107,153,233,12700,70000000,137340146
7,127,130,840,602,2662,8000000,48468407
4,91,82,62,615,3326,85000000,43575716
6,238,88,218,521,21863,85000000,80170146
7,345,120,840,160,3632,85000000,75754670
8,377,162,21000,495,36928,65000000,33048353
6,170,123,55,956,5839,82000000,34543701
7,191,101,293,1000,21276,81000000,242589580
7,424,113,13000,5000,46355,80000000,102981571
7,154,110,840,898,12760,80000000,180965237
7,673,142,378,575,49942,78000000,407999255
7,383,102,480,461,16143,80000000,254455986
7,153,126,13000,390,2899,80000000,162831698
7,166,83,12,925,22813,80000000,155019340
7,180,85,255,443,3112,80000000,145771527
6,120,97,56,852,23907,39752620,82506325
6,125,120,75,3000,22750,75000000,140459099
7,234,116,23,110,25220,84000000,53215979
6,134,113,88,421,13693,82000000,158115031
4,91,87,31,733,4073,75000000,133103929
5,139,101,221,11000,39269,80000000,133668525
7,265,110,88,11000,44798,80000000,130313314
7,145,128,278,343,22679,80000000,124590960
8,490,138,17000,163,29585,80000000,127968405
6,141,88,91,982,9913,80000000,120136047
6,163,91,77,208,1804,75000000,128200012
7,155,138,610,805,17087,80000000,112225777
6,144,99,163,495,12831,80000000,109993847
8,226,117,840,818,16828,80000000,104054514
6,204,117,221,503,16325,80000000,103028109
9,95,54,840,656,581,39752620,48468407
7,139,123,165,744,15362,75000000,101087161
7,215,118,154,915,5637,80000000,101111837
7,198,154,333,16000,61110,79000000,95632614
7,325,118,117,10000,44797,80000000,94822707
5,53,90,10,159,50005,80000000,92969824
5,167,113,101,913,17786,80000000,91188905
6,46,88,30,366,15001,80000000,90443603
6,147,93,189,38,1267,65000000,82226474
6,276,104,301,71,22194,80000000,79363785
7,80,135,503,67,8355,75000000,76081498
8,406,134,452,697,20411,68000000,85707116
6,97,98,425,397,12729,70000000,74329966
5,143,80,40,375,4394,80000000,100169068
7,106,83,21,495,14261,80000000,73215310
5,178,102,153,269,5392,80000000,80360866
5,102,130,81,427,12186,80000000,69102910
7,209,129,438,502,20056,80000000,65948711
7,19,117,69,87,1753,39752620,821997
7,152,89,266,859,26839,80000000,169692572
8,31,25,840,474,2614,39752620,48468407
7,129,74,11,62,814,80000000,60507228
6,124,96,25,102,1919,80000000,56684819
6,35,114,31,372,10731,90000000,50628009
7,166,99,57,820,25942,80000000,69772969
6,137,129,258,163,2864,75000000,45356386
7,121,113,25,129,49631,85000000,55350897
5,87,90,65,658,25190,80000000,39442871
6,233,118,840,871,27114,88000000,37899638
6,132,106,13000,733,22590,70000000,37754208
6,63,81,92,8,54,39752620,48468407
7,95,117,93,904,14831,39752620,27779888
6,258,89,84,1000,18132,80000000,38542418
7,162,145,79,183,1825,80000000,34566746
6,61,114,357,366,25126,80000000,32885565
5,113,87,43,210,1971,80000000,36073232
2,174,119,64,41,971,44000000,21471685
6,101,91,287,695,5593,80000000,20950820
6,205,118,252,30,619,80000000,19673424
6,123,116,503,982,43887,80000000,19480739
6,79,177,840,582,4346,80000000,17593391
6,61,97,750,231,2521,80000000,18318000
6,202,106,42,612,16922,90000000,27356090
6,145,106,14,656,2,70000000,17473245
6,101,94,840,14,683,86000000,15131330
8,113,104,63,7,152,40000000,19406406
4,113,102,840,212,1890,52000000,1891821
6,272,105,545,74,1099,80000000,23219748
4,3,89,840,20,370,8000000,48468407
8,205,135,2000,535,2827,58000000,170708996
9,186,73,28,847,6458,45000000,422783777
6,178,94,62,722,27842,79000000,103812241
7,169,95,18,18,848,78000000,119793567
7,210,124,420,876,35867,78000000,92930005
7,140,136,394,1000,36925,100000000,67286731
3,156,91,221,553,27405,79000000,74158157
6,150,107,309,771,25296,76000000,127083765
8,119,108,54,6000,30230,81200000,1339152
6,232,99,101,327,2323,80000000,15071514
4,49,92,5,924,28050,76000000,26000610
7,165,87,11,745,4782,75000000,323505540
6,202,110,45,845,4714,78000000,66462600
8,306,98,275,1000,11905,76000000,368049635
7,185,154,776,933,16785,75000000,306124059
7,177,129,14000,227,1635,73000000,229074524
7,181,86,35,179,1777,75000000,193136719
8,372,109,840,18,16479,76000000,35286428
7,290,104,840,505,21397,75000000,157299717
7,316,110,335,988,25763,75000000,134568845
7,122,136,840,904,15999,75000000,134006721
7,164,115,107,241,1815,80000000,195329763
7,147,99,88,328,12952,75000000,120776832
7,219,117,163,260,1673,75000000,118823091
5,167,125,212,394,1970,50000000,41814863
4,70,110,16,692,5320,75000000,97360069
7,384,125,255,963,13312,75000000,117698894
6,179,102,221,4000,28497,80000000,162001186
7,151,128,14000,232,16199,60000000,77032279
8,12,43,840,218,1990,39752620,48468407
5,107,100,87,446,5174,35000000,73023275
6,134,124,258,748,3424,75000000,68473360
7,269,102,840,15000,60646,75000000,66636385
6,143,90,10,11000,63165,75000000,160762022
7,241,130,386,525,2856,70000000,103338338
8,12,45,840,656,504,39752620,48468407
6,161,118,473,680,15889,53000000,55808744
8,298,163,14000,412,2529,70000000,47379090
7,89,142,845,787,16580,70000000,43426961
5,140,100,126,925,25206,75000000,47000485
7,362,116,840,104,15735,75000000,45434443
7,124,131,274,138,12522,80000000,42044321
7,190,91,27,925,17299,75000000,73661010
7,132,123,272,193,13934,80000000,41523271
6,53,134,109,249,1695,55000000,37600435
7,91,148,72,99,804,75000000,39251128
6,284,110,763,222,16691,75000000,83503161
7,152,113,17,759,103354,52000000,34636443
7,131,94,383,886,15857,75000000,22751979
5,132,116,41,541,14028,75000000,30013346
6,67,99,545,533,2542,75000000,14567883
6,130,84,10,394,4368,39752620,90820
5,74,93,253,637,5580,75000000,5409517
6,114,113,212,568,4397,45000000,21009180
7,294,106,840,963,33645,75000000,94999143
6,308,91,22,1000,13616,74000000,336029560
6,435,128,840,826,7067,82000000,36381716
6,117,98,840,697,15269,69000000,55585389
6,108,134,272,215,1044,75000000,36976367
6,141,97,6,415,24350,73000000,107225164
6,176,112,72,715,13827,70000000,70224196
6,230,153,840,130,11852,75000000,51814190
7,234,110,532,461,5187,70000000,47456450
7,164,122,285,989,12410,73000000,148213377
5,91,87,41,574,3287,72000000,112950721
8,132,178,840,403,1976,72000000,75600000
7,262,125,840,210,15850,70000000,62647540
7,299,87,30,433,3086,75000000,183132370
7,128,152,840,745,4310,72000000,27796042
5,109,116,212,462,14780,72000000,32616869
7,88,109,218,8,55,59660000,18947630
7,261,108,840,882,7273,60000000,114195633
5,73,85,84,595,4166,71500000,144156464
7,208,106,840,242,1675,72000000,227965690
7,205,93,80,48,1148,150000000,436471036
7,256,117,487,769,4905,120000000,244052771
6,103,116,840,995,12790,70000000,152149590
6,191,132,357,212,14790,70000000,141204016
6,147,92,5,726,5217,74000000,162495848
7,79,139,2000,808,3667,80000000,136448821
8,486,153,16000,11000,36741,75000000,120523073
7,75,142,14000,5000,64259,70000000,119654900
6,245,101,420,467,16235,100000000,72660029
7,142,124,212,576,16595,70000000,117541000
6,144,117,69,1000,14486,80000000,116643346
8,39,45,840,160,1430,39752620,48468407
7,153,141,488,509,11458,68000000,100614858
6,284,110,840,559,5609,70000000,42272747
6,247,109,545,727,3222,60000000,80281096
5,107,88,84,1000,5227,75000000,219613391
7,141,124,130,841,6181,75000000,78120196
7,358,119,845,992,31782,70000000,98895417
6,160,103,906,748,6207,58000000,70117571
6,355,116,473,464,4001,70000000,83552429
8,235,125,13000,883,16138,70000000,66257002
6,59,125,840,184,1439,70000000,65012000
7,388,146,14000,979,46726,66000000,79883359
6,371,118,840,559,27674,70000000,78031620
8,82,171,840,638,4074,69500000,54222000
6,297,136,840,17,1579,70000000,52474616
6,261,92,28,423,5178,70000000,55942830
6,120,116,380,774,32563,70000000,40932372
8,228,127,905,271,16034,70000000,38345403
7,76,136,218,400,12226,70000000,37901509
5,185,111,2000,244,18510,70000000,48430355
6,128,116,541,384,12993,70000000,30157016
5,237,113,43,452,13517,60000000,28031250
5,105,97,84,150,1576,70000000,33105600
6,242,88,24,324,5861,70000000,62321039
6,360,136,163,66,712,75000000,38509342
6,112,125,40,407,15916,60000000,19076815
7,189,116,5,748,49608,35000000,25093607
3,151,98,323,390,2763,70000000,18990542
4,92,91,8,298,1846,70000000,14294842
6,79,97,13,695,13628,70000000,19819494
6,81,95,101,443,3734,70000000,13596911
6,51,88,6,854,6946,70000000,8460990
5,261,133,840,301,28129,70000000,7097125
6,197,106,14,582,12871,70000000,37760080
4,159,116,105,246,1899,70000000,5851188
7,286,115,101,585,15708,50000000,25121291
4,156,99,212,182,1520,70000000,18821279
6,176,124,31,497,12556,68000000,118471320
5,293,124,171,10000,52547,68000000,300523113
7,141,124,840,580,32871,68000000,71069884
8,304,87,275,975,11608,69000000,251501645
6,40,105,29,97,1132,68000000,35324232
6,280,125,3000,3000,30010,68000000,81257500
7,180,141,448,334,1829,70000000,617840
6,125,121,18,776,3986,65000000,29655590
6,237,111,101,681,3393,36000000,45045037
8,209,157,840,680,18216,68000000,28965197
7,178,117,44,531,3524,39752620,27550735
7,238,128,840,135,29824,70000000,39380442
6,190,114,116,982,10419,39752620,72980108
6,393,105,335,911,8281,69000000,37516013
6,138,113,36,232,1302,66000000,87704396
7,4,30,840,359,2465,39752620,48468407
7,142,121,38,745,4230,66000000,83892374
5,90,102,4,112,14625,35000000,5932060
9,219,169,14000,13000,44998,70000000,216119491
7,327,132,76,464,7081,66000000,43568507
6,149,127,278,912,5838,70000000,182805123
8,193,103,77,835,5437,59000000,176387405
6,175,136,759,354,12194,68000000,33685268
7,538,150,14000,655,25517,65000000,182204440
